	label	inflorescence	taille	forme 	couleur	motif	nombre_serie	longueur_filet	syndrome
Passiflora_magnoliifolia_DQ123301	Passiflora_magnoliifolia_DQ123301	?	?	0	0	1	0	0	0
Passiflora_malacophylla_KM652374	Passiflora_malacophylla_KM652374	0	0	0	0	0	0	1	3
Passiflora_maliformis_DQ123362	Passiflora_maliformis_DQ123362	0	1	0	1	1	0	1	0
Passiflora_maliformis_KM652394	Passiflora_maliformis_KM652394	0	1	0	1	1	0	1	0
Passiflora_manicata_DQ123344	Passiflora_manicata_DQ123344	?	0	0	2	0	0	0	1
Passiflora_mansoi_DQ123309	Passiflora_mansoi_DQ123309	0	1	0	0	0	0	0	3
Passiflora_mathewsii_DQ123380	Passiflora_mathewsii_DQ123380	?	1	1	0	0	0	0	2
Passiflora_mediterranea_HQ900867	Passiflora_mediterranea_HQ900867	1	0	0	0	0	0	1	3
Passiflora_mendoncaei_DQ123385	Passiflora_mendoncaei_DQ123385	?	1	0	2	1	0	0	0
Passiflora_menispermifolia_JQ593096	Passiflora_menispermifolia_JQ593096	0	0	0	1	1	0	1	0
Passiflora_micropetala_DQ445924	Passiflora_micropetala_DQ445924	0	0	0	0	0	0	1	3
Passiflora_microstipula_DQ123332	Passiflora_microstipula_DQ123332	1	0	0	0	1	0	1	0
Passiflora_miersii_DQ123363	Passiflora_miersii_DQ123363	0	0	0	1	1	0	1	0
Passiflora_misera_DQ123317	Passiflora_misera_DQ123317	0	0	0	0	0	0	1	3
Passiflora_mixta_DQ123381	Passiflora_mixta_DQ123381	?	1	1	2	0	0	0	2
Passiflora_morifolia_DQ123318	Passiflora_morifolia_DQ123318	0	0	0	1	1	0	1	0
Passiflora_mucronata_HQ900876	Passiflora_mucronata_HQ900876	0	1	0	0	0	0	0	3
Passiflora_multiflora_DQ123297	Passiflora_multiflora_DQ123297	1	0	0	0	1	0	1	0
Passiflora_murucuja_DQ123345	Passiflora_murucuja_DQ123345	0	0	1	2	0	NA	NA	2
Passiflora_nitida_DQ123364	Passiflora_nitida_DQ123364	0	1	0	1	1	0	1	0
Passiflora_odontophylla_DQ123365	Passiflora_odontophylla_DQ123365	NA	NA	NA	NA	NA	NA	NA	NA
Passiflora_ornithoura_DQ123320	Passiflora_ornithoura_DQ123320	1	0	0	3	1	0	0	0
Passiflora_palmeri_HQ900879	Passiflora_palmeri_HQ900879	0	1	0	0	1	0	0	0
Passiflora_penduliflora_DQ123298	Passiflora_penduliflora_DQ123298	0	0	0	0	0	0	0	3
Passiflora_pentagona_KM652382	Passiflora_pentagona_KM652382	0	0	0	0	0	0	1	3
Passiflora_phoenicia_KM652389	Passiflora_phoenicia_KM652389	0	1	0	2	1	0	1	0
Passiflora_picturata_HQ900880	Passiflora_picturata_HQ900880	0	1	0	1	1	0	0	0
Passiflora_pilosicorona_HQ900881	Passiflora_pilosicorona_HQ900881	?	1	1	2	0	0	0	2
Passiflora_pittieri_DQ123310	Passiflora_pittieri_DQ123310	?	1	1	3	1	0	1	2
Passiflora_platyloba_HQ900882	Passiflora_platyloba_HQ900882	0	0	0	1	1	0	1	0
